% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 07:59
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -5.93919798517789E-14    1.5
2500                      -90                      4.307761427667549E-13    1.5
2500                      -80                      7.454633738891559E-13    1.5
2500                      -70                      7.724043536709137E-13    1.5
2500                      -60                      4.114810481373503E-13    1.5
2500                      -50                      7.525092882979442E-14    1.5
2500                      -40                      -2.816433476566532E-13   1.5
2500                      -30                      -7.163551502132318E-13   1.5
2500                      -20                      -7.658155582957879E-13   1.5
2500                      -10                      -5.234675215177151E-13   1.5
2500                      0                        -6.639256319491854E-14   1.5
