% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:54
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -3.63345608553068E-14    1.5
2500                      -90                      2.640750561700253E-13    1.5
2500                      -80                      4.626536821895723E-13    1.5
2500                      -70                      4.817759071514501E-13    1.5
2500                      -60                      3.0459598896731646E-13   1.5
2500                      -50                      4.4235202665207295E-14   1.5
2500                      -40                      -2.29956861675947E-13    1.5
2500                      -30                      -4.4775433707093617E-13  1.5
2500                      -20                      -4.768067965620975E-13   1.5
2500                      -10                      -3.2046568110567125E-13  1.5
2500                      0                        -4.058476725449102E-14   1.5
