% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:19
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -3.071874576417929E-13   1.5
2500                      -90                      6.212274810942696E-13    1.5
2500                      -80                      1.310782641240165E-12    1.5
2500                      -70                      1.4547207196669252E-12   1.5
2500                      -60                      1.032308924996728E-12    1.5
2500                      -50                      2.910230709636376E-13    1.5
2500                      -40                      -5.267775208454422E-13   1.5
2500                      -30                      -1.2402932811585049E-12  1.5
2500                      -20                      -1.4674120930529425E-12  1.5
2500                      -10                      -1.0836190524120387E-12  1.5
2500                      0                        -3.1307071115429064E-13  1.5
