% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 5 2022, 04:22
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.354881400507031E-11   4.5
2500                      -90                      1.708019717335573E-10    4.5
2500                      -80                      2.955748972021176E-10    4.5
2500                      -70                      3.06256947599762E-10     4.5
2500                      -60                      1.6315150115184788E-10   4.5
2500                      -50                      2.983685896877995E-11    4.5
2500                      -40                      -1.1167108465316998E-10  4.5
2500                      -30                      -2.840335384688188E-10   4.5
2500                      -20                      -3.0364450199379927E-10  4.5
2500                      -10                      -2.0755393796762558E-10  4.5
2500                      0                        -2.632453280563411E-11   4.5
