% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 03:29
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.0761403367743904E-12  1.5
2500                      -90                      1.5058459548721058E-11   1.5
2500                      -80                      2.6058848079806856E-11   1.5
2500                      -70                      2.7000612523031957E-11   1.5
2500                      -60                      1.4383969081128281E-11   1.5
2500                      -50                      2.630514913182197E-12    1.5
2500                      -40                      -9.845287463250295E-12   1.5
2500                      -30                      -2.5041324207776383E-11  1.5
2500                      -20                      -2.677029078793495E-11   1.5
2500                      -10                      -1.829863289830579E-11   1.5
2500                      0                        -2.3208567697834085E-12  1.5
