% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 07:56
% Dimension:          2
% Nodes:              11
% Expressions:        5
% Description:        Particle trajectories
% x                       y                        Particle                 Time                     x-velocity               y-velocity               Color
2500                      -100                     0                        0                        0                        0                        -4.443481427203476E-12
2500                      -90                      1                        0                        0                        0                        3.2229028135574834E-11
2500                      -80                      2                        0                        0                        0                        5.5772726634301495E-11
2500                      -70                      3                        0                        0                        0                        5.7788347995798134E-11
2500                      -60                      4                        0                        0                        0                        3.0785442741774444E-11
2500                      -50                      5                        0                        0                        0                        5.629987507903952E-12
2500                      -40                      6                        0                        0                        0                        -2.1071481158462024E-11
2500                      -30                      7                        0                        0                        0                        -5.3594960349934234E-11
2500                      -20                      8                        0                        0                        0                        -5.729539945375939E-11
2500                      -10                      9                        0                        0                        0                        -3.9163843593322177E-11
2500                      0                        10                       0                        0                        0                        -4.967238374577626E-12
