% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 5 2022, 03:49
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.1997399853464224E-10  4.5
2500                      -90                      8.701837596606798E-10    4.5
2500                      -80                      1.5058636191268298E-9    4.5
2500                      -70                      1.5602853958876004E-9    4.5
2500                      -60                      8.312069540290983E-10    4.5
2500                      -50                      1.520096627145702E-10    4.5
2500                      -40                      -5.689299912773139E-10   4.5
2500                      -30                      -1.4470639294473196E-9   4.5
2500                      -20                      -1.546975785250703E-9    4.5
2500                      -10                      -1.0574237770188528E-9   4.5
2500                      0                        -1.341154361129446E-10   4.5
